time_point,subject,task,time_cat,trait,n,sum,phase
7,kumili,comm,7,1,12,8,2
7,kuno,comm,7,1,12,9,2
7,lexi,comm,7,1,12,12,2
7,luiza,comm,7,1,12,11,2
7,maja,comm,7,1,12,7,2
7,natascha,comm,7,1,12,9,2
7,ohini,comm,7,1,12,10,2
7,padana,comm,7,1,12,7,2
7,pini,comm,7,1,5,4,2
7,raja,comm,7,1,12,9,2
7,riet,comm,7,1,12,11,2
7,sandra,comm,7,1,12,7,2
7,sari,comm,7,1,6,5,2
7,sumai,comm,7,1,12,9,2
7,swela,comm,7,1,12,9,2
7,tai,comm,7,1,12,7,2
7,tayo,comm,7,1,8,6,2
7,yaro,comm,7,1,12,9,2
7,yasa,comm,7,1,12,5,2
7,youma,comm,7,1,12,6,2
7,zira,comm,7,1,12,11,2
8,abeeku,comm,8,1,11,7,2
8,alex,comm,8,1,12,11,2
8,amira,comm,8,1,12,10,2
8,bimbo,comm,8,1,12,11,2
8,corrie,comm,8,1,12,6,2
8,daza,comm,8,1,12,2,2
8,diara,comm,8,1,12,11,2
8,dokana,comm,8,1,12,12,2
8,fraukje,comm,8,1,12,12,2
8,frederike,comm,8,1,12,11,2
8,frodo,comm,8,1,12,11,2
8,hope,comm,8,1,12,11,2
8,jasongo,comm,8,1,12,12,2
8,jeudi,comm,8,1,12,9,2
8,joey,comm,8,1,3,1,2
8,kasai,comm,8,1,12,9,2
8,kianga,comm,8,1,12,10,2
8,kibara,comm,8,1,12,5,2
8,kio,comm,8,1,12,12,2
8,kisha,comm,8,1,7,2,2
8,kumili,comm,8,1,12,12,2
8,kuno,comm,8,1,12,8,2
8,lexi,comm,8,1,6,6,2
8,luiza,comm,8,1,2,2,2
8,maja,comm,8,1,12,8,2
8,makeni,comm,8,1,12,8,2
8,natascha,comm,8,1,12,9,2
8,ohini,comm,8,1,12,12,2
8,padana,comm,8,1,12,11,2
8,pini,comm,8,1,12,7,2
8,raja,comm,8,1,12,9,2
8,riet,comm,8,1,12,9,2
8,sandra,comm,8,1,12,7,2
8,sari,comm,8,1,6,5,2
8,shanga,comm,8,1,12,10,2
8,sumai,comm,8,1,12,11,2
8,swela,comm,8,1,12,12,2
8,tai,comm,8,1,12,11,2
8,tayo,comm,8,1,12,10,2
8,yaro,comm,8,1,12,6,2
8,yasa,comm,8,1,6,4,2
8,youma,comm,8,1,10,4,2
8,zira,comm,8,1,12,12,2
9,abeeku,comm,9,1,8,7,2
9,alex,comm,9,1,10,10,2
9,amira,comm,9,1,6,6,2
9,azibo,comm,9,1,12,5,2
9,bimbo,comm,9,1,12,9,2
9,corrie,comm,9,1,12,7,2
9,diara,comm,9,1,12,11,2
9,dokana,comm,9,1,12,10,2
9,fraukje,comm,9,1,12,12,2
9,frodo,comm,9,1,12,12,2
9,hope,comm,9,1,12,11,2
9,jasongo,comm,9,1,12,11,2
9,joey,comm,9,1,6,5,2
9,kasai,comm,9,1,12,10,2
9,kianga,comm,9,1,12,10,2
9,kibara,comm,9,1,12,4,2
9,kio,comm,9,1,12,11,2
9,kisha,comm,9,1,12,3,2
9,kumili,comm,9,1,12,12,2
9,kuno,comm,9,1,12,11,2
9,lexi,comm,9,1,12,11,2
9,luiza,comm,9,1,12,12,2
9,maja,comm,9,1,12,7,2
9,makeni,comm,9,1,12,10,2
9,natascha,comm,9,1,12,10,2
9,ohini,comm,9,1,12,12,2
9,padana,comm,9,1,12,9,2
9,pini,comm,9,1,12,10,2
9,raja,comm,9,1,8,5,2
9,riet,comm,9,1,12,11,2
9,sandra,comm,9,1,10,8,2
9,sari,comm,9,1,12,10,2
9,sumai,comm,9,1,12,11,2
9,swela,comm,9,1,12,10,2
9,tai,comm,9,1,12,8,2
9,tayo,comm,9,1,2,2,2
9,yaro,comm,9,1,12,7,2
9,yasa,comm,9,1,12,3,2
9,youma,comm,9,1,12,5,2
10,abeeku,comm,10,1,3,3,2
10,alex,comm,10,1,12,12,2
10,amira,comm,10,1,12,11,2
10,azibo,comm,10,1,12,9,2
10,bimbo,comm,10,1,12,9,2
10,corrie,comm,10,1,12,11,2
10,daza,comm,10,1,6,4,2
10,diara,comm,10,1,12,11,2
10,dokana,comm,10,1,12,9,2
10,fraukje,comm,10,1,12,10,2
10,frederike,comm,10,1,3,1,2
10,frodo,comm,10,1,12,12,2
10,hope,comm,10,1,12,11,2
10,jeudi,comm,10,1,12,11,2
10,kasai,comm,10,1,10,7,2
10,kianga,comm,10,1,12,5,2
10,kibara,comm,10,1,12,5,2
10,kio,comm,10,1,12,11,2
10,kisha,comm,10,1,10,2,2
10,kumili,comm,10,1,12,12,2
10,kuno,comm,10,1,12,12,2
10,lexi,comm,10,1,12,11,2
10,maja,comm,10,1,12,10,2
10,makeni,comm,10,1,12,11,2
10,ohini,comm,10,1,12,12,2
10,padana,comm,10,1,12,11,2
10,pini,comm,10,1,12,10,2
10,raja,comm,10,1,12,11,2
10,riet,comm,10,1,12,8,2
10,sandra,comm,10,1,7,5,2
10,sari,comm,10,1,3,3,2
10,swela,comm,10,1,12,10,2
10,tai,comm,10,1,12,10,2
10,tayo,comm,10,1,12,12,2
10,yaro,comm,10,1,12,8,2
10,yasa,comm,10,1,12,1,2
10,youma,comm,10,1,12,7,2
10,zira,comm,10,1,12,10,2
