date,time_point,session,group,subject,room,sick_severity,heat,test_day,test_tp,rank,observer,keeper,task,trial,correct_location,pick,search_1,search_2,search_3,condition,code,experimenter,in_leipzig,birth_date,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,7,NA,NA,3,2,1,NA,0,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,8,NA,NA,3,2,1,NA,0,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,9,NA,NA,3,2,1,NA,0,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,10,NA,NA,2,1,3,NA,0,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,11,NA,NA,1,2,3,NA,0,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,fraukje,sleep_room,0,no,no,9,9,carola,nico,inhibit_searched,12,NA,NA,2,1,2,NA,1,nico,20010228,19760406,f,hand,46.11362080766598,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,1,NA,NA,1,3,1,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,2,NA,NA,3,2,2,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,3,NA,NA,2,2,3,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,4,NA,NA,2,3,2,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,5,NA,NA,1,3,1,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,6,NA,NA,1,3,2,NA,0,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,7,NA,NA,2,1,3,NA,0,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,8,NA,NA,2,2,3,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,9,NA,NA,2,3,2,NA,1,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,azibo,sleep_room,0,no,no,47,12,NA,nico,inhibit_searched,10,NA,NA,3,2,1,NA,0,nico,20150414,20150414,m,mother,7.093771389459275,7.093771389459275,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,swela,sleep_room,0,no,yes,30,7,"tai, sandra",nico,inhibit_searched,1,NA,NA,1,2,2,NA,1,nico,20050315,19951009,f,mother,26.60643394934976,17.17453798767967,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,swela,sleep_room,0,no,yes,30,7,"tai, sandra",nico,inhibit_searched,2,NA,NA,2,2,2,NA,2,nico,20050315,19951009,f,mother,26.60643394934976,17.17453798767967,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,swela,sleep_room,0,no,yes,30,7,"tai, sandra",nico,inhibit_searched,3,NA,NA,2,2,2,NA,2,nico,20050315,19951009,f,mother,26.60643394934976,17.17453798767967,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,swela,sleep_room,0,no,yes,30,7,"tai, sandra",nico,inhibit_searched,4,NA,NA,2,1,2,NA,1,nico,20050315,19951009,f,mother,26.60643394934976,17.17453798767967,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,1,NA,NA,1,2,2,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,2,NA,NA,1,2,1,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,3,NA,NA,2,1,2,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,4,NA,NA,1,2,1,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,5,NA,NA,3,2,1,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,6,NA,NA,1,2,1,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
