"","date","time_point","session","group","subject","trial","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","error.ny"
"288",20220520,1,3,"a_chimp","sandra",12,48,3,1,1,1,"yes","0",3,96,0
"289",20220520,1,3,"a_chimp","fraukje",1,49,2,2,1,1,"yes","0",1,97,0
"292",20220520,1,3,"a_chimp","fraukje",1,49,3,2,0,1,"yes","0",1,98,0
"293",20220520,1,3,"a_chimp","fraukje",1,49,3,2,0,2,"yes","0",2,98,1
"297",20220520,1,3,"a_chimp","fraukje",2,50,2,1,1,1,"yes","0",3,99,0
"298",20220520,1,3,"a_chimp","fraukje",2,50,3,3,0,2,"yes","0",1,100,0
"300",20220520,1,3,"a_chimp","fraukje",2,50,3,3,0,1,"yes","0",3,100,1
"302",20220520,1,3,"a_chimp","fraukje",3,51,2,2,0,1,"yes","0",2,101,1
"305",20220520,1,3,"a_chimp","fraukje",3,51,3,1,1,2,"no","1",2,102,0
"307",20220520,1,3,"a_chimp","fraukje",4,52,2,3,1,1,"yes","0",1,103,0
"310",20220520,1,3,"a_chimp","fraukje",4,52,3,2,1,1,"yes","0",1,104,0
"312",20220520,1,3,"a_chimp","fraukje",4,52,3,2,1,2,"yes","0",3,104,0
"315",20220520,1,3,"a_chimp","fraukje",5,53,2,2,1,1,"yes","0",3,105,0
"317",20220520,1,3,"a_chimp","fraukje",5,53,3,1,1,2,"yes","0",2,106,0
"318",20220520,1,3,"a_chimp","fraukje",5,53,3,1,1,1,"yes","0",3,106,0
"319",20220520,1,3,"a_chimp","fraukje",6,54,2,2,1,1,"yes","0",1,107,0
"322",20220520,1,3,"a_chimp","fraukje",6,54,3,3,1,1,"yes","0",1,108,0
"323",20220520,1,3,"a_chimp","fraukje",6,54,3,3,1,2,"yes","0",2,108,0
"327",20220520,1,3,"a_chimp","fraukje",7,55,2,2,1,1,"yes","0",3,109,0
"329",20220520,1,3,"a_chimp","fraukje",7,55,3,1,1,2,"yes","0",2,110,0
"330",20220520,1,3,"a_chimp","fraukje",7,55,3,1,1,1,"yes","0",3,110,0
"333",20220520,1,3,"a_chimp","fraukje",8,56,2,2,1,1,"yes","0",3,111,0
"335",20220520,1,3,"a_chimp","fraukje",8,56,3,1,1,2,"yes","0",2,112,0
"336",20220520,1,3,"a_chimp","fraukje",8,56,3,1,1,1,"yes","0",3,112,0
"339",20220520,1,3,"a_chimp","fraukje",9,57,2,2,1,1,"yes","0",3,113,0
"341",20220520,1,3,"a_chimp","fraukje",9,57,3,1,1,2,"yes","0",2,114,0
"342",20220520,1,3,"a_chimp","fraukje",9,57,3,1,1,1,"yes","0",3,114,0
"344",20220520,1,3,"a_chimp","fraukje",10,58,2,1,1,1,"yes","0",2,115,0
"346",20220520,1,3,"a_chimp","fraukje",10,58,3,3,1,2,"yes","0",1,116,0
"347",20220520,1,3,"a_chimp","fraukje",10,58,3,3,1,1,"yes","0",2,116,0
"349",20220520,1,3,"a_chimp","fraukje",11,59,2,2,1,1,"yes","0",1,117,0
"352",20220520,1,3,"a_chimp","fraukje",11,59,3,3,1,1,"yes","0",1,118,0
"353",20220520,1,3,"a_chimp","fraukje",11,59,3,3,1,2,"yes","0",2,118,0
"356",20220520,1,3,"a_chimp","fraukje",12,60,2,1,1,1,"yes","0",2,119,0
"358",20220520,1,3,"a_chimp","fraukje",12,60,3,2,0,2,"yes","0",1,120,0
"359",20220520,1,3,"a_chimp","fraukje",12,60,3,2,0,1,"yes","0",2,120,1
"361",20220520,1,3,"a_chimp","azibo",1,61,2,3,1,1,"yes","0",1,121,0
"364",20220520,1,3,"a_chimp","azibo",1,61,3,1,0,1,"yes","0",1,122,1
"366",20220520,1,3,"a_chimp","azibo",1,61,3,1,0,2,"yes","0",3,122,0
"369",20220520,1,3,"a_chimp","azibo",2,62,2,2,1,1,"yes","0",3,123,0
"371",20220520,1,3,"a_chimp","azibo",2,62,3,2,0,2,"yes","0",2,124,1
"372",20220520,1,3,"a_chimp","azibo",2,62,3,2,0,1,"yes","0",3,124,0
"374",20220520,1,3,"a_chimp","azibo",3,63,2,2,0,1,"yes","0",2,125,1
"377",20220520,1,3,"a_chimp","azibo",3,63,3,3,1,2,"no","1",2,126,0
"380",20220520,1,3,"a_chimp","azibo",4,64,2,3,1,1,"yes","0",2,127,0
"383",20220520,1,3,"a_chimp","azibo",4,64,3,2,0,1,"yes","0",2,128,1
"384",20220520,1,3,"a_chimp","azibo",4,64,3,2,0,2,"yes","0",3,128,0
"385",20220520,1,3,"a_chimp","azibo",5,65,2,3,1,1,"yes","0",1,129,0
"388",20220520,1,3,"a_chimp","azibo",5,65,3,1,0,1,"yes","0",1,130,1
"390",20220520,1,3,"a_chimp","azibo",5,65,3,1,0,2,"yes","0",3,130,0
"391",20220520,1,3,"a_chimp","azibo",6,66,2,3,1,1,"yes","0",1,131,0
"394",20220520,1,3,"a_chimp","azibo",6,66,3,2,1,1,"yes","0",1,132,0
"396",20220520,1,3,"a_chimp","azibo",6,66,3,2,1,2,"yes","0",3,132,0
"398",20220520,1,3,"a_chimp","azibo",7,67,2,1,1,1,"yes","0",2,133,0
"400",20220520,1,3,"a_chimp","azibo",7,67,3,3,1,2,"yes","0",1,134,0
"401",20220520,1,3,"a_chimp","azibo",7,67,3,3,1,1,"yes","0",2,134,0
"404",20220520,1,3,"a_chimp","azibo",8,68,2,2,0,1,"yes","0",2,135,1
"407",20220520,1,3,"a_chimp","azibo",8,68,3,3,1,2,"no","1",2,136,0
"410",20220520,1,3,"a_chimp","azibo",9,69,2,3,1,1,"yes","0",2,137,0
"413",20220520,1,3,"a_chimp","azibo",9,69,3,2,0,1,"yes","0",2,138,1
"414",20220520,1,3,"a_chimp","azibo",9,69,3,2,0,2,"yes","0",3,138,0
"417",20220520,1,3,"a_chimp","azibo",10,70,2,2,1,1,"yes","0",3,139,0
"419",20220520,1,3,"a_chimp","azibo",10,70,3,1,1,2,"yes","0",2,140,0
"420",20220520,1,3,"a_chimp","azibo",10,70,3,1,1,1,"yes","0",3,140,0
"421",20220520,1,3,"a_chimp","swela",1,71,2,2,1,1,"yes","0",1,141,0
"424",20220520,1,3,"a_chimp","swela",1,71,3,2,0,1,"yes","0",1,142,0
"425",20220520,1,3,"a_chimp","swela",1,71,3,2,0,2,"yes","0",2,142,1
"428",20220520,1,3,"a_chimp","swela",2,72,2,2,0,1,"yes","0",2,143,1
"431",20220520,1,3,"a_chimp","swela",2,72,3,2,0,2,"no","1",2,144,1
"434",20220520,1,3,"a_chimp","swela",3,73,2,2,0,1,"yes","0",2,145,1
"437",20220520,1,3,"a_chimp","swela",3,73,3,2,0,2,"no","1",2,146,1
"440",20220520,1,3,"a_chimp","swela",4,74,2,1,1,1,"yes","0",2,147,0
"442",20220520,1,3,"a_chimp","swela",4,74,3,2,0,2,"yes","0",1,148,0
"443",20220520,1,3,"a_chimp","swela",4,74,3,2,0,1,"yes","0",2,148,1
"445",20220520,1,3,"a_chimp","riet",1,75,2,2,1,1,"yes","0",1,149,0
"448",20220520,1,3,"a_chimp","riet",1,75,3,2,0,1,"yes","0",1,150,0
"449",20220520,1,3,"a_chimp","riet",1,75,3,2,0,2,"yes","0",2,150,1
"451",20220520,1,3,"a_chimp","riet",2,76,2,2,1,1,"yes","0",1,151,0
"454",20220520,1,3,"a_chimp","riet",2,76,3,1,0,1,"yes","0",1,152,1
"455",20220520,1,3,"a_chimp","riet",2,76,3,1,0,2,"yes","0",2,152,0
"458",20220520,1,3,"a_chimp","riet",3,77,2,1,1,1,"yes","0",2,153,0
"460",20220520,1,3,"a_chimp","riet",3,77,3,2,0,2,"yes","0",1,154,0
"461",20220520,1,3,"a_chimp","riet",3,77,3,2,0,1,"yes","0",2,154,1
"463",20220520,1,3,"a_chimp","riet",4,78,2,2,1,1,"yes","0",1,155,0
"466",20220520,1,3,"a_chimp","riet",4,78,3,1,0,1,"yes","0",1,156,1
"467",20220520,1,3,"a_chimp","riet",4,78,3,1,0,2,"yes","0",2,156,0
"471",20220520,1,3,"a_chimp","riet",5,79,2,2,1,1,"yes","0",3,157,0
"473",20220520,1,3,"a_chimp","riet",5,79,3,1,1,2,"yes","0",2,158,0
"474",20220520,1,3,"a_chimp","riet",5,79,3,1,1,1,"yes","0",3,158,0
"475",20220520,1,3,"a_chimp","riet",6,80,2,2,1,1,"yes","0",1,159,0
"478",20220520,1,3,"a_chimp","riet",6,80,3,1,0,1,"yes","0",1,160,1
"479",20220520,1,3,"a_chimp","riet",6,80,3,1,0,2,"yes","0",2,160,0
"483",20220520,1,3,"a_chimp","riet",7,81,2,1,1,1,"yes","0",3,161,0
"484",20220520,1,3,"a_chimp","riet",7,81,3,2,1,2,"yes","0",1,162,0
"486",20220520,1,3,"a_chimp","riet",7,81,3,2,1,1,"yes","0",3,162,0
"489",20220520,1,3,"a_chimp","riet",8,82,2,1,1,1,"yes","0",3,163,0
"490",20220520,1,3,"a_chimp","riet",8,82,3,2,1,2,"yes","0",1,164,0
"492",20220520,1,3,"a_chimp","riet",8,82,3,2,1,1,"yes","0",3,164,0
"495",20220520,1,3,"a_chimp","riet",9,83,2,2,1,1,"yes","0",3,165,0
"497",20220520,1,3,"a_chimp","riet",9,83,3,1,1,2,"yes","0",2,166,0
"498",20220520,1,3,"a_chimp","riet",9,83,3,1,1,1,"yes","0",3,166,0
"499",20220520,1,3,"a_chimp","riet",10,84,2,3,1,1,"yes","0",1,167,0
"502",20220520,1,3,"a_chimp","riet",10,84,3,2,1,1,"yes","0",1,168,0
"504",20220520,1,3,"a_chimp","riet",10,84,3,2,1,2,"yes","0",3,168,0
"505",20220520,1,3,"a_chimp","riet",11,85,2,3,1,1,"yes","0",1,169,0
"508",20220520,1,3,"a_chimp","riet",11,85,3,2,1,1,"yes","0",1,170,0
"510",20220520,1,3,"a_chimp","riet",11,85,3,2,1,2,"yes","0",3,170,0
"511",20220520,1,3,"a_chimp","riet",12,86,2,2,1,1,"yes","0",1,171,0
"514",20220520,1,3,"a_chimp","riet",12,86,3,1,0,1,"yes","0",1,172,1
"515",20220520,1,3,"a_chimp","riet",12,86,3,1,0,2,"yes","0",2,172,0
"517",20220523,1,3,"a_chimp","kisha",1,87,2,2,1,1,"yes","0",1,173,0
"520",20220523,1,3,"a_chimp","kisha",1,87,3,2,0,1,"yes","0",1,174,0
"521",20220523,1,3,"a_chimp","kisha",1,87,3,2,0,2,"yes","0",2,174,1
"524",20220523,1,3,"a_chimp","kisha",2,88,2,2,0,1,"yes","0",2,175,1
"527",20220523,1,3,"a_chimp","kisha",2,88,3,1,1,2,"no","1",2,176,0
"530",20220523,1,3,"a_chimp","kisha",3,89,2,1,1,1,"yes","0",2,177,0
"532",20220523,1,3,"a_chimp","kisha",3,89,3,1,0,2,"yes","0",1,178,1
"533",20220523,1,3,"a_chimp","kisha",3,89,3,1,0,1,"yes","0",2,178,0
"535",20220523,1,3,"a_chimp","kisha",4,90,2,2,1,1,"yes","0",1,179,0
"538",20220523,1,3,"a_chimp","kisha",4,90,3,2,0,1,"yes","0",1,180,0
"539",20220523,1,3,"a_chimp","kisha",4,90,3,2,0,2,"yes","0",2,180,1
"541",20220523,1,3,"a_chimp","ohini",1,91,2,2,1,1,"yes","0",1,181,0
"544",20220523,1,3,"a_chimp","ohini",1,91,3,1,0,1,"yes","0",1,182,1
"545",20220523,1,3,"a_chimp","ohini",1,91,3,1,0,2,"yes","0",2,182,0
"547",20220523,1,3,"a_chimp","ohini",2,92,2,2,1,1,"yes","0",1,183,0
"550",20220523,1,3,"a_chimp","ohini",2,92,3,2,0,1,"yes","0",1,184,0
"551",20220523,1,3,"a_chimp","ohini",2,92,3,2,0,2,"yes","0",2,184,1
"553",20220523,1,3,"a_chimp","ohini",3,93,2,2,1,1,"yes","0",1,185,0
"556",20220523,1,3,"a_chimp","ohini",3,93,3,1,0,1,"yes","0",1,186,1
"557",20220523,1,3,"a_chimp","ohini",3,93,3,1,0,2,"yes","0",2,186,0
"559",20220523,1,3,"a_chimp","ohini",4,94,2,2,1,1,"yes","0",1,187,0
"562",20220523,1,3,"a_chimp","ohini",4,94,3,1,0,1,"yes","0",1,188,1
"563",20220523,1,3,"a_chimp","ohini",4,94,3,1,0,2,"yes","0",2,188,0
"566",20220523,1,3,"a_chimp","ohini",5,95,2,1,1,1,"yes","0",2,189,0
"568",20220523,1,3,"a_chimp","ohini",5,95,3,1,0,2,"yes","0",1,190,1
"569",20220523,1,3,"a_chimp","ohini",5,95,3,1,0,1,"yes","0",2,190,0
"571",20220523,1,3,"a_chimp","ohini",6,96,2,2,1,1,"yes","0",1,191,0
"574",20220523,1,3,"a_chimp","ohini",6,96,3,3,1,1,"yes","0",1,192,0
"575",20220523,1,3,"a_chimp","ohini",6,96,3,3,1,2,"yes","0",2,192,0
"578",20220523,1,3,"a_chimp","ohini",7,97,2,1,1,1,"yes","0",2,193,0
"580",20220523,1,3,"a_chimp","ohini",7,97,3,3,1,2,"yes","0",1,194,0
"581",20220523,1,3,"a_chimp","ohini",7,97,3,3,1,1,"yes","0",2,194,0
"583",20220523,1,3,"a_chimp","ohini",8,98,2,2,1,1,"yes","0",1,195,0
"586",20220523,1,3,"a_chimp","ohini",8,98,3,3,1,1,"yes","0",1,196,0
"587",20220523,1,3,"a_chimp","ohini",8,98,3,3,1,2,"yes","0",2,196,0
"591",20220523,1,3,"a_chimp","ohini",9,99,2,2,1,1,"yes","0",3,197,0
"593",20220523,1,3,"a_chimp","ohini",9,99,3,1,1,2,"yes","0",2,198,0
"594",20220523,1,3,"a_chimp","ohini",9,99,3,1,1,1,"yes","0",3,198,0
"596",20220523,1,3,"a_chimp","ohini",10,100,2,1,1,1,"yes","0",2,199,0
"598",20220523,1,3,"a_chimp","ohini",10,100,3,3,1,2,"yes","0",1,200,0
"599",20220523,1,3,"a_chimp","ohini",10,100,3,3,1,1,"yes","0",2,200,0
"602",20220523,1,3,"a_chimp","ohini",11,101,2,3,1,1,"yes","0",2,201,0
"605",20220523,1,3,"a_chimp","ohini",11,101,3,1,1,1,"yes","0",2,202,0
"606",20220523,1,3,"a_chimp","ohini",11,101,3,1,1,2,"yes","0",3,202,0
"609",20220523,1,3,"a_chimp","ohini",12,102,2,2,1,1,"yes","0",3,203,0
"611",20220523,1,3,"a_chimp","ohini",12,102,3,1,1,2,"yes","0",2,204,0
