time_point,subject,task,time_cat,trait,n,sum,phase
7,ohini,delay,7,1,12,0,1
7,padana,delay,7,1,12,6,1
7,pini,delay,7,1,12,6,1
7,raja,delay,7,1,12,1,1
7,riet,delay,7,1,12,1,1
7,robert,delay,7,1,12,6,1
7,sandra,delay,7,1,12,8,1
7,shanga,delay,7,1,12,7,1
7,swela,delay,7,1,12,1,1
7,tai,delay,7,1,12,4,1
7,youma,delay,7,1,12,7,1
7,zira,delay,7,1,12,10,1
8,abeeku,delay,8,1,12,12,1
8,alex,delay,8,1,12,8,1
8,azibo,delay,8,1,12,0,1
8,bambari,delay,8,1,12,1,1
8,bimbo,delay,8,1,12,9,1
8,daza,delay,8,1,12,8,1
8,diara,delay,8,1,12,10,1
8,dokana,delay,8,1,12,12,1
8,dorien,delay,8,1,12,7,1
8,frederike,delay,8,1,12,0,1
8,frodo,delay,8,1,12,11,1
8,hope,delay,8,1,12,4,1
8,jasongo,delay,8,1,12,0,1
8,jeudi,delay,8,1,12,3,1
8,kasai,delay,8,1,12,0,1
8,kianga,delay,8,1,11,0,1
8,kibara,delay,8,1,12,7,1
8,kio,delay,8,1,12,0,1
8,kisha,delay,8,1,12,0,1
8,kumili,delay,8,1,12,1,1
8,kuno,delay,8,1,12,10,1
8,lexi,delay,8,1,12,5,1
8,luiza,delay,8,1,12,1,1
8,maja,delay,8,1,12,0,1
8,makeni,delay,8,1,12,2,1
8,ohini,delay,8,1,12,1,1
8,padana,delay,8,1,12,3,1
8,pini,delay,8,1,12,10,1
8,raja,delay,8,1,12,6,1
8,riet,delay,8,1,12,1,1
8,sandra,delay,8,1,12,7,1
8,shanga,delay,8,1,12,6,1
8,swela,delay,8,1,12,0,1
8,tai,delay,8,1,12,12,1
8,yaro,delay,8,1,3,0,1
8,yasa,delay,8,1,12,11,1
8,youma,delay,8,1,12,4,1
8,zira,delay,8,1,12,12,1
9,abeeku,delay,9,1,8,8,1
9,alex,delay,9,1,12,7,1
9,azibo,delay,9,1,12,1,1
9,bambari,delay,9,1,12,0,1
9,bimbo,delay,9,1,12,7,1
9,corrie,delay,9,1,12,0,1
9,daza,delay,9,1,12,5,1
9,diara,delay,9,1,12,10,1
9,dokana,delay,9,1,12,12,1
9,dorien,delay,9,1,12,6,1
9,frederike,delay,9,1,12,1,1
9,frodo,delay,9,1,12,12,1
9,hope,delay,9,1,12,3,1
9,jeudi,delay,9,1,12,6,1
9,kasai,delay,9,1,12,6,1
9,kianga,delay,9,1,12,0,1
9,kibara,delay,9,1,12,1,1
9,kio,delay,9,1,12,0,1
9,kisha,delay,9,1,11,1,1
9,kumili,delay,9,1,12,0,1
9,kuno,delay,9,1,12,12,1
9,lexi,delay,9,1,12,0,1
9,luiza,delay,9,1,12,2,1
9,makeni,delay,9,1,12,0,1
9,ohini,delay,9,1,12,0,1
9,padana,delay,9,1,12,3,1
9,pini,delay,9,1,12,10,1
9,raja,delay,9,1,12,4,1
9,riet,delay,9,1,12,2,1
9,robert,delay,9,1,12,7,1
9,sandra,delay,9,1,12,9,1
9,shanga,delay,9,1,12,7,1
9,swela,delay,9,1,12,0,1
9,tai,delay,9,1,12,10,1
9,yaro,delay,9,1,12,2,1
9,yasa,delay,9,1,12,3,1
9,youma,delay,9,1,12,6,1
9,zira,delay,9,1,12,8,1
10,abeeku,delay,10,1,12,12,1
10,alex,delay,10,1,12,6,1
10,azibo,delay,10,1,12,0,1
10,bambari,delay,10,1,12,1,1
10,bimbo,delay,10,1,12,8,1
10,corrie,delay,10,1,12,0,1
10,daza,delay,10,1,12,2,1
10,diara,delay,10,1,12,11,1
10,dokana,delay,10,1,12,11,1
10,dorien,delay,10,1,12,12,1
10,frederike,delay,10,1,12,1,1
10,frodo,delay,10,1,12,12,1
10,hope,delay,10,1,12,5,1
10,jeudi,delay,10,1,12,1,1
10,kasai,delay,10,1,12,5,1
10,kianga,delay,10,1,12,0,1
10,kibara,delay,10,1,12,6,1
10,kio,delay,10,1,12,0,1
10,kisha,delay,10,1,12,1,1
10,kumili,delay,10,1,12,0,1
10,kuno,delay,10,1,12,12,1
10,lexi,delay,10,1,12,2,1
10,luiza,delay,10,1,12,2,1
10,maja,delay,10,1,12,0,1
10,makeni,delay,10,1,12,1,1
10,ohini,delay,10,1,12,0,1
10,padana,delay,10,1,12,0,1
10,pini,delay,10,1,12,3,1
10,raja,delay,10,1,12,0,1
10,riet,delay,10,1,12,1,1
10,sandra,delay,10,1,12,12,1
10,shanga,delay,10,1,12,10,1
10,swela,delay,10,1,12,0,1
10,tai,delay,10,1,12,12,1
10,yaro,delay,10,1,12,0,1
10,yasa,delay,10,1,12,1,1
10,youma,delay,10,1,12,2,1
10,zira,delay,10,1,12,11,1
