time_point subject task trial code
2 dorien inference 3 1
2 dorien cause 3 1
2 dorien cause 4 0
2 dorien inference 4 1
2 dorien inference 5 1
2 dorien cause 5 1
2 dorien cause 6 1
2 dorien inference 6 0
2 dorien cause 7 0
2 dorien cause 8 1
2 dorien inference 7 0
2 dorien inference 8 1
2 dorien cause 9 1
2 dorien inference 9 1
2 dorien cause 10 0
2 dorien cause 11 1
2 dorien inference 10 1
2 dorien inference 11 1
2 dorien cause 12 0
2 dorien inference 12 0
2 dorien gaze 3 0
2 dorien gaze 4 0
2 dorien gaze 5 0
2 dorien gaze 6 0
2 dorien quant 1 1
2 dorien quant 2 1
2 dorien quant 3 0
2 dorien quant 4 1
2 dorien quant 5 0
2 dorien quant 6 1
2 dorien quant 7 0
2 dorien quant 8 1
2 dorien quant 9 1
2 dorien quant 10 1
2 dorien quant 11 1
2 dorien quant 12 1
2 dorien delay 1 1
2 dorien delay 2 1
2 dorien delay 3 1
2 dorien delay 4 0
2 dorien delay 5 0
2 dorien delay 6 1
2 dorien delay 7 0
2 dorien delay 8 1
2 dorien delay 9 1
2 dorien delay 10 0
2 dorien delay 11 0
2 dorien delay 12 1
2 dorien gaze 7 0
2 dorien gaze 8 0
2 azibo gaze 5 0
2 azibo gaze 6 0
2 azibo quant 1 1
2 azibo quant 2 1
2 azibo quant 3 0
2 azibo quant 4 1
2 azibo quant 5 0
2 azibo quant 6 1
2 azibo quant 7 1
2 azibo quant 8 0
2 azibo quant 9 0
2 azibo quant 10 1
2 azibo quant 11 0
2 azibo quant 12 1
2 azibo delay 1 0
2 azibo delay 2 0
2 azibo delay 3 0
2 azibo delay 4 0
2 azibo delay 5 0
2 azibo delay 6 0
2 azibo delay 7 0
2 azibo delay 8 0
2 azibo delay 9 0
2 azibo delay 10 1
2 azibo delay 11 0
2 azibo delay 12 1
2 azibo gaze 7 0
2 azibo gaze 8 0
2 azibo gaze 1 0
2 azibo gaze 2 0
2 azibo inference 1 0
2 azibo cause 1 0
2 azibo inference 2 0
2 azibo cause 2 1
2 azibo inference 3 0
2 azibo cause 3 1
2 azibo cause 4 1
2 azibo inference 4 1
2 azibo inference 5 0
2 azibo cause 5 1
2 azibo cause 6 1
2 azibo inference 6 0
2 azibo cause 7 1
2 azibo cause 8 1
2 azibo inference 7 1
2 azibo inference 8 0
2 azibo cause 9 1
2 azibo inference 9 0
2 azibo cause 10 0
2 azibo cause 11 1
2 azibo inference 10 0
2 azibo inference 11 1
2 azibo cause 12 1
2 azibo inference 12 0
2 azibo gaze 3 0
2 azibo gaze 4 0
2 swela gaze 1 0
2 swela gaze 2 0
2 swela inference 1 1
2 swela cause 1 0
2 swela inference 2 0
2 swela cause 2 0
2 swela inference 3 0
2 swela cause 3 0
2 swela cause 4 0
2 swela inference 4 0
2 swela inference 5 1
2 swela cause 5 0
2 swela cause 6 0
2 swela inference 6 1
2 swela cause 7 1
2 swela cause 8 0
2 swela inference 7 0
2 swela inference 8 1
2 swela cause 9 0
2 swela inference 9 1
2 swela cause 10 1
2 swela cause 11 0
2 swela inference 10 1
2 swela inference 11 0
2 swela cause 12 1
2 swela inference 12 0
2 swela gaze 3 1
2 swela gaze 4 1
2 swela gaze 5 0
2 swela gaze 6 0
2 swela quant 1 0
2 swela quant 2 0
2 swela quant 3 1
2 swela quant 4 0
2 swela quant 5 1
2 swela quant 6 1
2 swela quant 7 0
2 swela quant 8 1
2 swela quant 9 1
2 swela quant 10 0
2 swela quant 11 1
2 swela quant 12 1
2 swela delay 1 1
2 swela delay 2 0
2 swela delay 3 0
2 swela delay 4 0
2 swela delay 5 1
2 swela delay 6 0
2 swela delay 7 0
2 swela delay 8 0
2 swela delay 9 0
2 swela delay 10 0
2 swela delay 11 0
2 swela delay 12 0
2 swela gaze 7 0
2 swela gaze 8 0
2 youma gaze 5 0
2 youma gaze 6 0
2 youma quant 1 0
2 youma quant 2 0
